,Unnamed: 0,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,TraingOrders,TrainGridSearch,TrainBenchmark,TestOrders,TestGridSearch,TestBenchmark
866,866,2019-08-04,10821.63,11009.21,10620.28,10970.18,10970.18,16530894787,BTC,10092.636667,8629.981950275256,11555.291383724743,0.7999830797267868,36.221547700613726,10092.636667,0.08694886796720946,10599.11,10970.18,0.0350095432541,,628583.52,403267.48,,500000.0,500000.0
867,867,2019-08-05,10960.74,11895.09,10960.74,11805.65,11805.65,23875988832,BTC,10173.072667,8224.104529621369,12122.040804378632,0.9188312014161044,40.4734675456696,10173.072667,0.16048025866323049,10343.11,11805.65,0.1414023441692,,598506.6000000001,433344.39999999997,,500000.0,500000.0
868,868,2019-08-06,11811.54,12273.82,11290.73,11478.17,11478.17,23635107660,BTC,10248.743333,8053.375552587926,12444.111113412075,0.7800047167425483,44.33879327439181,10248.743333,0.11995877221760062,9900.77,11478.17,0.1593209417045,,610295.88,421555.12,,500000.0,500000.0
869,869,2019-08-07,11476.19,12036.99,11433.7,11941.97,11941.97,22194988641,BTC,10384.823333,7853.753018040057,12915.893647959943,0.807606362770021,50.0943773239326,10384.823333,0.14994445423561836,9811.93,11941.97,0.217086750517,,593599.0800000001,438251.92,,500000.0,500000.0
870,870,2019-08-08,11954.04,11979.42,11556.17,11966.41,11966.41,19481591730,BTC,10528.455333,7770.839214181326,13286.071451818674,0.7607242279277074,55.929126055051796,10528.455333,0.1365779329939244,9911.84,11966.41,0.2072844194418,,592719.24,439131.76,,500000.0,500000.0
871,871,2019-08-09,11953.47,11970.46,11709.75,11862.94,11862.94,18339989960,BTC,10658.528667,7770.327395284334,13546.729938715669,0.7085054363757254,61.080713319463925,10658.528667,0.11299977423047072,9870.3,11862.94,0.20188241492150003,,596444.1599999999,435406.84,,500000.0,500000.0
872,872,2019-08-10,11861.56,11915.66,11323.9,11354.02,11354.02,18125355447,BTC,10757.443333,7901.063618168651,13613.823047831347,0.6044288096401121,64.98746606999295,10757.443333,0.05545710523707018,9477.68,11354.02,0.19797460982009998,,614765.28,417085.72000000003,,500000.0,500000.0
873,873,2019-08-11,11349.74,11523.58,11248.29,11523.58,11523.58,15774371518,BTC,10893.836667,8191.248122234079,13596.42521176592,0.6165074376970218,70.44766475575155,10893.836667,0.05780730446488527,9552.86,11523.58,0.2062963342915,,608661.12,423189.88,,500000.0,500000.0
874,874,2019-08-12,11528.19,11528.19,11320.95,11382.62,11382.62,13647198229,BTC,11015.820667,8534.271736316932,13497.36959768307,0.573905319468965,75.17022778907133,11015.820667,0.03329750402517151,9519.15,11382.62,0.19576012564150003,,613735.6799999999,418115.32,,500000.0,500000.0
875,875,2019-08-13,11385.05,11420.05,10830.33,10895.83,10895.83,16681503537,BTC,11107.599333,8952.117704314,13263.080961686,0.45087656276405,78.61612911843625,11107.599333,-0.01906526573846126,9607.42,10895.83,0.134105722452,,631260.12,400590.88,,500000.0,500000.0
876,876,2019-08-14,10889.49,10889.56,10028.14,10051.7,10051.7,19990838300,BTC,11137.218,9160.452022428844,13113.983977571159,0.2254308268362221,77.94517138287986,11137.218,-0.09746760815851857,10085.63,10051.7,-0.0033641924203000003,,661648.8,370202.2,,500000.0,500000.0
877,877,2019-08-15,10038.42,10437.41,9675.32,10311.55,10311.55,22899115082,BTC,11152.279333,9246.295499429678,13058.263166570325,0.2794500356739301,75.70674488798946,11152.279333,-0.07538632309112374,10399.67,10311.55,-0.0084733457889,,652294.2,379556.8,,500000.0,500000.0
878,878,2019-08-16,10319.42,10524.35,9855.48,10374.34,10374.34,20228207096,BTC,11150.590667,9238.087157239635,13063.094176760364,0.2970590215812823,72.06331618528006,11150.590667,-0.06961520606233908,10518.17,10374.34,-0.013674431959200001,,650033.76,381817.24,,500000.0,500000.0
