,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,multiplier,on_balance_volume,window_start_price,window_end_price,momentum
583,2018-10-25,6484.65,6504.65,6447.03,6476.29,6476.29,3230550000,BTC,62.5482543554667500000,6446.234000,0.00466256732225358,-1,209919007264,6256.24,6476.29,0.0351728833932
584,2018-10-26,6468.44,6498.29,6449.61,6474.75,6474.75,3306050000,BTC,63.5126832651320000000,6460.801333,0.00215896856768433,1,213225057264,6274.58,6474.75,0.0319017368493
585,2018-10-27,6480.84,6507.41,6453.53,6480.38,6480.38,3393250000,BTC,64.9599275268822500000,6474.521333,0.00090488032993867,-1,209831807264,6285.99,6480.38,0.0309243253648
586,2018-10-28,6482.66,6502.28,6447.91,6486.39,6486.39,3445190000,BTC,63.3471445564785000000,6487.881333,-0.00022986440772498,1,213276997264,6290.93,6486.39,0.0310701279461
587,2018-10-29,6492.35,6503.60,6306.99,6332.63,6332.63,4199910000,BTC,47.1812615121060000000,6490.661333,-0.02434749325103942,-1,209077087264,6596.54,6332.63,-0.0400073371798
588,2018-10-30,6337.04,6364.99,6310.14,6334.27,6334.27,3781100000,BTC,31.7937911603365000000,6473.176667,-0.02145880981561043,-1,205295987264,6596.11,6334.27,-0.0396961239276
589,2018-10-31,6336.99,6349.16,6316.88,6317.61,6317.61,4191240000,BTC,16.1449423437207500000,6454.610000,-0.02122513986127744,-1,201104747264,6544.43,6317.61,-0.0346584805705
590,2018-11-01,6318.14,6547.14,6311.83,6377.78,6377.78,3789400000,BTC,8.5955466937802500000,6443.500000,-0.01019942577791573,1,204894147264,6476.71,6377.78,-0.0152747305345
591,2018-11-02,6378.92,6396.86,6327.38,6388.44,6388.44,4234870000,BTC,18.5307427887137500000,6437.615333,-0.00763874982525303,1,209129017264,6465.41,6388.44,-0.0119048907958
592,2018-11-03,6387.24,6400.07,6342.37,6361.26,6361.26,3658640000,BTC,24.4978398698312500000,6430.672000,-0.01079389525698092,-1,205470377264,6489.19,6361.26,-0.0197143249003
593,2018-11-04,6365.47,6388.63,6294.57,6376.13,6376.13,4390020000,BTC,32.7063345115862500000,6423.134667,-0.00731802607868318,1,209860397264,6482.35,6376.13,-0.0163860328430
594,2018-11-05,6363.62,6480.59,6363.62,6419.66,6419.66,4174800000,BTC,38.5807664254052500000,6418.955333,0.00010977907828355,1,214035197264,6487.16,6419.66,-0.0104051695966
595,2018-11-06,6433.38,6463.55,6408.16,6461.01,6461.01,4700040000,BTC,48.7600291757840000000,6417.212000,0.00682508229430475,1,218735237264,6475.74,6461.01,-0.0022746435156
596,2018-11-07,6468.50,6552.16,6468.31,6530.14,6530.14,4941260000,BTC,67.6373225607360000000,6420.838667,0.01702290598917489,1,223676497264,6495.84,6530.14,0.0052803024705
597,2018-11-08,6522.27,6536.92,6438.53,6453.72,6453.72,4665260000,BTC,75.4395087640382500000,6418.030667,0.00556079190825718,-1,219011237264,6476.29,6453.72,-0.0034850199729
598,2018-11-09,6442.60,6456.46,6373.37,6385.62,6385.62,4346820000,BTC,69.1251867425502500000,6411.986000,-0.00411198652024505,-1,214664417264,6474.75,6385.62,-0.0137657824626
599,2018-11-10,6386.13,6437.28,6385.31,6409.22,6409.22,3705320000,BTC,59.7868536206652500000,6407.617333,0.00025011902501513,1,218369737264,6480.38,6409.22,-0.0109808375435
600,2018-11-11,6413.63,6423.25,6350.17,6411.27,6411.27,3939060000,BTC,45.8041217710440000000,6403.010000,0.00129001828827380,-1,214430677264,6486.39,6411.27,-0.0115811722699
601,2018-11-12,6411.76,6434.21,6360.47,6371.27,6371.27,4295770000,BTC,36.1054909895072500000,6395.335333,-0.00376295092390584,-1,210134907264,6332.63,6371.27,0.0061017302448
602,2018-11-13,6373.19,6395.27,6342.67,6359.49,6359.49,4503800000,BTC,33.0318072742672500000,6397.126000,-0.00588326695456679,-1,205631107264,6334.27,6359.49,0.0039815164178
603,2018-11-14,6351.24,6371.55,5544.09,5738.35,5738.35,7398940000,BTC,22.2556815508400000000,6357.398000,-0.09737442897235630,-1,198232167264,6317.61,5738.35,-0.0916897370999
604,2018-11-15,5736.15,5774.82,5358.38,5648.03,5648.03,7032140000,BTC,11.2384134004612500000,6312.759333,-0.10529933075780698,-1,191200027264,6377.78,5648.03,-0.1144206918395
605,2018-11-16,5645.32,5657.02,5498.94,5575.55,5575.55,5279320000,BTC,4.9263633369407500000,6259.277333,-0.10923422890934556,-1,185920707264,6388.44,5575.55,-0.1272438967886
606,2018-11-17,5578.58,5578.58,5519.56,5554.33,5554.33,4303150000,BTC,0E-19,6203.670000,-0.10467029999983881,-1,181617557264,6361.26,5554.33,-0.1268506553733
607,2018-11-18,5559.74,5653.61,5559.74,5623.54,5623.54,4159680000,BTC,1.7731423125402500000,6154.488667,-0.08627015106013843,1,185777237264,6376.13,5623.54,-0.1180324115098
608,2018-11-19,5620.78,5620.78,4842.91,4871.49,4871.49,7039560000,BTC,1.7731423125402500000,6054.179333,-0.19535089199512485,-1,178737677264,6419.66,4871.49,-0.2411607468308
609,2018-11-20,4863.93,4951.61,4272.11,4451.87,4451.87,8428290000,BTC,1.7731423125402500000,5922.993333,-0.24837497702447608,-1,170309387264,6461.01,4451.87,-0.3109637657270
610,2018-11-21,4465.54,4675.73,4343.98,4602.17,4602.17,6120120000,BTC,3.5811364615200000000,5799.070667,-0.20639525464158307,1,176429507264,6530.14,4602.17,-0.2952417559195
611,2018-11-22,4611.57,4629.64,4365.64,4365.94,4365.94,4569370000,BTC,1.8079941489797500000,5654.790667,-0.22792190602588048,-1,171860137264,6453.72,4365.94,-0.3235002448200
612,2018-11-23,4360.70,4396.42,4195.68,4347.11,4347.11,4871490000,BTC,1.8079941489797500000,5514.350000,-0.21167317997588111,-1,166988647264,6385.62,4347.11,-0.3192344674440
613,2018-11-24,4347.69,4413.09,3795.16,3880.76,3880.76,4679500000,BTC,1.8079941489797500000,5347.359333,-0.27426608942272105,-1,162309147264,6409.22,3880.76,-0.3945035433329
614,2018-11-25,3880.78,4120.87,3585.06,4009.97,4009.97,6825640000,BTC,1.2765213336442500000,5187.409333,-0.22698022411874317,1,169134787264,6411.27,4009.97,-0.3745435771696
615,2018-11-26,4015.07,4107.14,3643.92,3779.13,3779.13,6476900000,BTC,1.2765213336442500000,5011.933333,-0.24597360960148270,-1,162657887264,6371.27,3779.13,-0.4068482421872
616,2018-11-27,3765.95,3862.96,3661.01,3820.72,3820.72,5998720000,BTC,1.6794689843597500000,4841.896667,-0.21090426690842884,1,168656607264,6359.49,3820.72,-0.3992096850534
617,2018-11-28,3822.47,4385.90,3822.47,4257.42,4257.42,7280280000,BTC,7.7825355108345000000,4701.758667,-0.09450477969417225,1,175936887264,5738.35,4257.42,-0.2580759277493
618,2018-11-29,4269.00,4413.02,4145.77,4278.85,4278.85,6503347767,BTC,13.1906950054850000000,4604.458667,-0.07071594959329885,1,182440235031,5648.03,4278.85,-0.2424172676137
619,2018-11-30,4289.09,4322.98,3942.82,4017.27,4017.27,6048016717,BTC,16.4185564896452500000,4495.741333,-0.10642768290245848,-1,176392218314,5575.55,4017.27,-0.2794845351580
620,2018-12-01,4024.46,4309.38,3969.71,4214.67,4214.67,5375314093,BTC,21.9191226997307500000,4405.016000,-0.04321119378454017,1,181767532407,5554.33,4214.67,-0.2411920069567
621,2018-12-02,4200.73,4301.52,4110.98,4139.88,4139.88,5262697895,BTC,20.7058312232720000000,4310.719333,-0.03963128188192808,-1,176504834512,5623.54,4139.88,-0.2638302563865
622,2018-12-03,4147.32,4155.98,3840.45,3894.13,3894.13,5089570994,BTC,16.6530666130737500000,4195.425333,-0.07181520563126180,-1,171415263518,4871.49,3894.13,-0.2006285551238
623,2018-12-04,3886.29,4075.63,3832.75,3956.89,3956.89,5028069239,BTC,18.8246996856787500000,4134.452000,-0.04294692500965061,1,176443332757,4451.87,3956.89,-0.1111847380988
624,2018-12-05,3958.89,3969.54,3753.99,3753.99,3753.99,5302481574,BTC,12.9211858248777500000,4087.926667,-0.08168851699217627,-1,171140851183,4602.17,3753.99,-0.1843000149929
625,2018-12-06,3754.07,3874.97,3521.10,3521.10,3521.10,5878333109,BTC,8.0314107748617500000,4015.855333,-0.12320048706296363,-1,165262518074,4365.94,3521.10,-0.1935070110904
626,2018-12-07,3512.59,3512.59,3280.23,3419.94,3419.94,6835615448,BTC,5.3994945567652500000,3952.788667,-0.13480322675697451,-1,158426902626,4347.11,3419.94,-0.2132842279123
627,2018-12-08,3421.91,3506.04,3350.65,3476.11,3476.11,5305024497,BTC,1.6349210045290000000,3894.722000,-0.10748186905252801,1,163731927123,3880.76,3476.11,-0.1042708129335
628,2018-12-09,3473.23,3685.31,3469.09,3614.23,3614.23,4947372847,BTC,7.2900536726782500000,3876.953333,-0.06776541021624931,1,168679299970,4009.97,3614.23,-0.0986890176236
629,2018-12-10,3612.05,3647.33,3470.14,3502.66,3502.66,5020968740,BTC,9.6977564587675000000,3843.132667,-0.08859248339864818,-1,163658331230,3779.13,3502.66,-0.0731570493738
630,2018-12-11,3497.55,3513.19,3392.25,3424.59,3424.59,4696765188,BTC,9.8331024205097500000,3819.496667,-0.10339233187763900,-1,158961566042,3820.72,3424.59,-0.1036794112105
631,2018-12-12,3421.46,3534.23,3413.48,3486.95,3486.95,4139364829,BTC,10.1486185979905000000,3797.245333,-0.08171590344805356,1,163100930871,4257.42,3486.95,-0.1809711045657
632,2018-12-13,3487.88,3489.74,3298.13,3313.68,3313.68,4343372456,BTC,4.4934859298412500000,3734.329333,-0.11264387671509100,-1,158757558415,4278.85,3313.68,-0.2255676174673
633,2018-12-14,3311.75,3329.56,3206.54,3242.48,3242.48,4372763663,BTC,2.0857831437520000000,3665.238000,-0.11534257802631098,-1,154384794752,4017.27,3242.48,-0.1928648061992
634,2018-12-15,3244.00,3275.38,3191.30,3236.76,3236.76,3551763561,BTC,1.9504371820097500000,3613.204000,-0.10418564797337764,-1,150833031191,4214.67,3236.76,-0.2320252831183
635,2018-12-16,3236.27,3305.75,3233.82,3252.84,3252.84,3744248994,BTC,0.4451235716185000000,3549.082000,-0.08347003534998628,1,154577280185,4139.88,3252.84,-0.2142670802052
636,2018-12-17,3253.12,3597.92,3253.12,3545.86,3545.86,5409247918,BTC,11.1758249727545000000,3509.480667,0.01036601607242876,1,159986528103,3894.13,3545.86,-0.0894346105549
637,2018-12-18,3544.76,3701.35,3487.17,3696.06,3696.06,5911325473,BTC,27.1208626742805000000,3496.276000,0.05714194188330670,1,165897853576,3956.89,3696.06,-0.0659179304959
638,2018-12-19,3706.82,3949.32,3687.23,3745.95,3745.95,6810689119,BTC,51.7322541248925000000,3482.213333,0.07573822789679153,1,172708542695,3753.99,3745.95,-0.0021417212086
639,2018-12-20,3742.20,4191.23,3728.97,4134.44,4134.44,8927129279,BTC,76.2871305532740000000,3507.576667,0.17871692981016172,1,181635671974,3521.10,4134.44,0.1741898838431
640,2018-12-21,4133.70,4198.43,3850.95,3896.54,3896.54,7206015706,BTC,83.9310169785350000000,3532.606000,0.10302139553632644,-1,174429656268,3419.94,3896.54,0.1393591700439
641,2018-12-22,3898.08,4014.18,3855.74,4014.18,4014.18,5605823233,BTC,89.6367902564225000000,3572.222000,0.12372075419724754,1,180035479501,3476.11,4014.18,0.1547908437880
642,2018-12-23,4020.99,4085.72,3976.41,3998.98,3998.98,6151275490,BTC,86.2528963550485000000,3607.080000,0.10864743781673819,-1,173884204011,3614.23,3998.98,0.1064542101637
643,2018-12-24,4000.33,4271.79,4000.33,4078.60,4078.60,7240968501,BTC,84.6977764905087500000,3638.038000,0.12109879006211590,1,181125172512,3502.66,4078.60,0.1644293194315
644,2018-12-25,4081.03,4089.56,3760.02,3815.49,3815.49,6158207293,BTC,82.4405690223685000000,3658.893333,0.04279891561408358,-1,174966965219,3424.59,3815.49,0.1141450509404
645,2018-12-26,3819.67,3893.36,3769.86,3857.30,3857.30,5326547918,BTC,78.0715288298725000000,3687.740667,0.04597919113925589,1,180293513137,3486.95,3857.30,0.1062102983983
646,2018-12-27,3854.69,3874.42,3645.45,3654.83,3654.83,5130222366,BTC,68.4871000802067500000,3698.932667,-0.01192307916104059,-1,175163290771,3313.68,3654.83,0.1029520050216
647,2018-12-28,3653.13,3956.14,3642.63,3923.92,3923.92,5631554348,BTC,64.1793289368150000000,3739.615333,0.04928439173238356,1,180794845119,3242.48,3923.92,0.2101601243493
648,2018-12-29,3932.49,3963.76,3820.41,3820.41,3820.41,4991655917,BTC,64.3163488102667500000,3778.144000,0.01118697434507525,-1,175803189202,3236.76,3820.41,0.1803192080970
649,2018-12-30,3822.38,3901.91,3797.22,3865.95,3865.95,4770578575,BTC,64.4208643209900000000,3820.090000,0.01200495276289302,1,180573767777,3252.84,3865.95,0.1884845242926
650,2018-12-31,3866.84,3868.74,3725.87,3742.70,3742.70,4661840806,BTC,61.1385960922832500000,3852.747333,-0.02856334025784919,-1,175911926971,3545.86,3742.70,0.0555126259920
651,2019-01-01,3746.71,3850.91,3707.23,3843.52,3843.52,4324200990,BTC,51.8370826882967500000,3872.591333,-0.00750694573741122,1,180236127961,3696.06,3843.52,0.0398965384761
652,2019-01-02,3849.22,3947.98,3817.41,3943.41,3943.41,5244856836,BTC,50.6251127645467500000,3889.081333,0.01396953736580546,1,185480984797,3745.95,3943.41,0.0527129299644
653,2019-01-03,3931.05,3935.69,3826.22,3836.74,3836.74,4530215219,BTC,42.7210099076182500000,3895.134000,-0.01499152532364740,-1,180950769578,4134.44,3836.74,-0.0720049148131
654,2019-01-04,3832.04,3865.93,3783.85,3857.72,3857.72,4847965467,BTC,46.3295559162652500000,3876.686000,-0.00489232297895677,1,185798735045,3896.54,3857.72,-0.0099626848435
655,2019-01-05,3851.97,3904.90,3836.90,3845.19,3845.19,5137609824,BTC,47.7241087577560000000,3873.262667,-0.00724780873736700,-1,180661125221,4014.18,3845.19,-0.0420982616624
656,2019-01-06,3836.52,4093.30,3826.51,4076.63,4076.63,5597027440,BTC,57.5654597462555000000,3877.426000,0.05137531960635741,1,186258152661,3998.98,4076.63,0.0194174514501
657,2019-01-07,4078.58,4092.61,4020.89,4025.25,4025.25,5228625637,BTC,69.9359322273877500000,3879.177333,0.03765557860873384,-1,181029527024,4078.60,4025.25,-0.0130804687883
658,2019-01-08,4028.47,4109.02,3996.96,4030.85,4030.85,5306593305,BTC,80.2532143818725000000,3875.994000,0.03995259022588786,1,186336120329,3815.49,4030.85,0.0564436022634
659,2019-01-09,4031.55,4068.40,4022.66,4035.30,4035.30,5115905225,BTC,91.5734452789947500000,3890.648000,0.03717941073055183,1,191452025554,3857.30,4035.30,0.0461462681150
660,2019-01-10,4034.41,4064.07,3659.17,3678.92,3678.92,6874143796,BTC,68.1174733708725000000,3878.756000,-0.05152064218527796,-1,184577881758,3654.83,3678.92,0.0065912778433
661,2019-01-11,3674.02,3713.88,3653.07,3687.37,3687.37,5538712865,BTC,46.7959833739482500000,3880.925333,-0.04987350087727132,1,190116594623,3923.92,3687.37,-0.0602841036515
662,2019-01-12,3686.97,3698.98,3653.81,3661.30,3661.30,4778170883,BTC,24.5093546399510000000,3863.417333,-0.05231568727343596,-1,185338423740,3820.41,3661.30,-0.0416473624559
663,2019-01-13,3658.87,3674.76,3544.93,3552.95,3552.95,4681302466,BTC,1.9589753132560000000,3845.586667,-0.07609675514823081,-1,180657121274,3865.95,3552.95,-0.0809632819876
664,2019-01-14,3557.31,3727.84,3552.29,3706.05,3706.05,5651384490,BTC,7.8400186594145000000,3834.926667,-0.03360603166391656,1,186308505764,3742.70,3706.05,-0.0097923958639
665,2019-01-15,3704.22,3720.15,3619.95,3630.68,3630.68,5537192302,BTC,11.0196112129545000000,3827.458667,-0.05141235585288164,-1,180771313462,3843.52,3630.68,-0.0553763217051
666,2019-01-16,3631.51,3685.78,3624.67,3655.01,3655.01,5394457145,BTC,15.8918614421020000000,3814.891333,-0.04190980005563372,1,186165770607,3943.41,3655.01,-0.0731346727832
667,2019-01-17,3651.87,3680.14,3621.96,3678.56,3678.56,5464420383,BTC,21.8883669416437500000,3797.234667,-0.03125291887576671,1,191630190990,3836.74,3678.56,-0.0412277089404
668,2019-01-18,3677.99,3682.52,3637.08,3657.84,3657.84,5002961727,BTC,19.5868660250535000000,3785.308000,-0.03367440641554135,-1,186627229263,3857.72,3657.84,-0.0518129879825
669,2019-01-19,3652.38,3758.53,3652.38,3728.57,3728.57,5955691380,BTC,24.2600443018637500000,3776.698000,-0.01274340707146825,1,192582920643,3845.19,3728.57,-0.0303288003974
670,2019-01-20,3725.45,3743.39,3583.02,3601.01,3601.01,5582489560,BTC,21.6821341277117500000,3760.419333,-0.04239137151569367,-1,187000431083,4076.63,3601.01,-0.1166698964586
671,2019-01-21,3600.37,3608.84,3558.54,3576.03,3576.03,5004347059,BTC,16.8818554344310000000,3727.046000,-0.04051895254311323,-1,181996084024,4025.25,3576.03,-0.1116005217067
672,2019-01-22,3575.08,3620.75,3539.72,3604.58,3604.58,5313623556,BTC,14.5504650553162500000,3699.001333,-0.02552616895745250,1,187309707580,4030.85,3604.58,-0.1057518885595
673,2019-01-23,3605.56,3623.07,3565.31,3585.12,3585.12,5433755649,BTC,7.8338860278367500000,3669.286000,-0.02293797757928927,-1,181875951931,4035.30,3585.12,-0.1115604787748
674,2019-01-24,3584.50,3616.09,3569.09,3600.87,3600.87,5262869046,BTC,12.3610924937387500000,3640.324000,-0.01083804628379232,1,187138820977,3678.92,3600.87,-0.0212154654083
