,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
1003,2019-12-19,7277.59,7346.60,7041.38,7202.84,7202.84,25904604416,BTC,,,,,,,-219.33666112391802,-239.5762498892981,20.23958876538009
1004,2019-12-20,7208.64,7257.92,7086.12,7218.82,7218.82,22633815180,BTC,,,,,,,-200.0137535300173,-231.66375061744196,31.64999708742465
1005,2019-12-21,7220.59,7223.23,7112.74,7191.16,7191.16,19312552168,BTC,,,,,,,-184.80186007576503,-222.29137250910662,37.48951243334159
1006,2019-12-22,7191.19,7518.03,7167.18,7511.59,7511.59,23134537956,BTC,,,,,,,-145.2163383087509,-206.87636566903547,61.66002736028457
1007,2019-12-23,7508.90,7656.18,7326.19,7355.63,7355.63,27831788041,BTC,,,,,,,-124.9884071430406,-190.49877396383653,65.51036682079592
1008,2019-12-24,7354.39,7535.72,7269.53,7322.53,7322.53,22991622105,BTC,,,,,,,-110.35639945317689,-174.47029906170462,64.11389960852773
1009,2019-12-25,7325.76,7357.02,7220.99,7275.16,7275.16,21559505149,BTC,,,,,,,-101.41375639754915,-159.85899052887353,58.44523413132438
1010,2019-12-26,7274.80,7388.30,7200.39,7238.97,7238.97,22787010034,BTC,,,,,,,-96.1386513665293,-147.1149226964047,50.9762713298754
1011,2019-12-27,7238.14,7363.53,7189.93,7290.09,7290.09,22777360996,BTC,,,,,,,-86.8321884349134,-135.05837584410645,48.226187409193045
1012,2019-12-28,7289.03,7399.04,7286.91,7317.99,7317.99,21365673026,BTC,,,,,,,-76.32561846359386,-123.31182436800393,46.98620590441007
1013,2019-12-29,7317.65,7513.95,7279.87,7422.65,7422.65,22445257702,BTC,,,,,,,-58.87522183690453,-110.42450386178406,51.54928202487953
1014,2019-12-30,7420.27,7454.82,7276.31,7293.00,7293.00,22874131672,BTC,,,,,,,-54.87476611130114,-99.31455631168748,44.43979020038634
1015,2019-12-31,7294.44,7335.29,7169.78,7193.60,7193.60,21167946112,BTC,,,,,,,-59.04449719681088,-91.26054448871217,32.21604729190129
1016,2020-01-01,7194.89,7254.33,7174.94,7200.17,7200.17,18565664997,BTC,,,,,,,-61.11440619888526,-85.23131683074679,24.11691063186153
1017,2020-01-02,7202.55,7212.16,6935.27,6985.47,6985.47,20802083465,BTC,,,,,,,-79.16673483357044,-84.01840043131153,4.851665597741089
1018,2020-01-03,6984.43,7413.72,6915.00,7344.88,7344.88,28111481032,BTC,,,,,,,-63.73722895096216,-79.96216613524166,16.224937184279497
1019,2020-01-04,7345.38,7427.39,7309.51,7410.66,7410.66,18444271275,BTC,,,,,,,-45.674827146058306,-73.104698337405,27.42987119134669
1020,2020-01-05,7410.45,7544.50,7400.54,7411.32,7411.32,19725074095,BTC,,,,,,,-30.950212317189653,-64.67380113336193,33.72358881617228
1021,2020-01-06,7410.45,7781.87,7409.29,7769.22,7769.22,23276261598,BTC,,,,,,,9.489303144941914,-49.841180277701156,59.33048342264307
1022,2020-01-07,7768.68,8178.22,7768.23,8163.69,8163.69,28767291327,BTC,,,,,,,72.53223630592765,-25.366496960975393,97.89873326690305
1023,2020-01-08,8161.94,8396.74,7956.77,8079.86,8079.86,31672559265,BTC,,,,,,,114.41097611802707,2.5889976548251052,111.82197846320196
1024,2020-01-09,8082.30,8082.30,7842.40,7879.07,7879.07,24045990466,BTC,,,,,,,129.90068991818407,28.05133610749691,101.84935381068716
1025,2020-01-10,7878.31,8166.55,7726.77,8166.55,8166.55,28714583844,BTC,,,,,,,163.48903332379996,55.138875550757525,108.35015777304244
